symbol,category,priority,notes
ZK,L2 Scaling,secondary,zkSync
ZRO,L2 Scaling,secondary,LayerZero
AAVE,DeFi Blue Chips,primary,Lending protocol
UNI,DeFi Blue Chips,primary,DEX
MKR,DeFi Blue Chips,primary,Stablecoin protocol
SNX,DeFi Blue Chips,primary,Synthetic assets
CRV,DeFi Blue Chips,primary,Stablecoin DEX
CVX,DeFi Blue Chips,secondary,Convex Finance
LDO,DeFi Blue Chips,secondary,Lido staking
COMP,DeFi Blue Chips,secondary,Compound lending
BAL,DeFi Blue Chips,secondary,Balancer DEX
SUSHI,DeFi Blue Chips,secondary,SushiSwap DEX
1INCH,DeFi Blue Chips,secondary,DEX aggregator
PENDLE,DeFi Blue Chips,secondary,Yield trading
MORPHO,DeFi Blue Chips,secondary,Lending optimizer
UNI,DEX Tokens,primary,Uniswap
SUSHI,DEX Tokens,primary,SushiSwap
CAKE,DEX Tokens,primary,PancakeSwap
1INCH,DEX Tokens,primary,1inch
DRIFT,DEX Tokens,secondary,Drift Protocol
OSMO,DEX Tokens,secondary,Osmosis DEX
DOGE,Meme Coins,primary,Original meme coin
SHIB,Meme Coins,primary,Shiba Inu
PEPE,Meme Coins,primary,Pepe
BONK,Meme Coins,primary,Bonk (Solana)
FLOKI,Meme Coins,primary,Floki Inu
WIF,Meme Coins,primary,Dogwifhat (Solana)
PNUT,Meme Coins,secondary,Peanut the Squirrel
POPCAT,Meme Coins,secondary,Popcat
SPX,Meme Coins,secondary,SPX6900
MOG,Meme Coins,secondary,Mog Coin
TURBO,Meme Coins,secondary,Turbo
GIGA,Meme Coins,secondary,Giga Chad
FARTCOIN,Meme Coins,secondary,Fartcoin
LTC,Dino Coins,primary,Litecoin (2011)
BCH,Dino Coins,primary,Bitcoin Cash fork
DASH,Dino Coins,primary,Dash (2014)
ETC,Dino Coins,primary,Ethereum Classic
XRP,Dino Coins,primary,Ripple (2012)
XLM,Dino Coins,primary,Stellar (2014)
ZEC,Dino Coins,primary,Zcash (2016)
EOS,Dino Coins,secondary,EOS (2017)
XTZ,Dino Coins,secondary,Tezos (2017)
ALGO,Dino Coins,secondary,Algorand (2019)
ZEC,Privacy Coins,primary,Zcash
DASH,Privacy Coins,secondary,Dash (optional privacy)
ROSE,Privacy Coins,secondary,Oasis (privacy features)
AXS,Gaming/Metaverse,primary,Axie Infinity
SAND,Gaming/Metaverse,primary,The Sandbox
MANA,Gaming/Metaverse,primary,Decentraland
IMX,Gaming/Metaverse,primary,Immutable X
ALICE,Gaming/Metaverse,secondary,My Neighbor Alice
ILV,Gaming/Metaverse,secondary,Illuvium
MAGIC,Gaming/Metaverse,secondary,Treasure DAO
SUPER,Gaming/Metaverse,secondary,SuperVerse
PYR,Gaming/Metaverse,secondary,Vulcan Forged
PRIME,Gaming/Metaverse,secondary,Echelon Prime
FET,AI/Compute,primary,Fetch.ai
RENDER,AI/Compute,primary,Render Network
GRT,AI/Compute,primary,The Graph
TAO,AI/Compute,primary,Bittensor
WLD,AI/Compute,secondary,Worldcoin
IO,AI/Compute,secondary,io.net
OCEAN,AI/Compute,secondary,Ocean Protocol
AKT,AI/Compute,secondary,Akash Network
LINK,Oracle Networks,primary,Chainlink
BAND,Oracle Networks,secondary,Band Protocol
TRB,Oracle Networks,secondary,Tellor
API3,Oracle Networks,secondary,API3
PYTH,Oracle Networks,secondary,Pyth Network
FIL,Storage/Infra,primary,Filecoin
RENDER,Storage/Infra,secondary,Render Network
STORJ,Storage/Infra,secondary,Storj
GRT,Storage/Infra,secondary,The Graph
HNT,Storage/Infra,secondary,Helium
IOTX,Storage/Infra,secondary,IoTeX
AKT,Storage/Infra,secondary,Akash Network
USDT,Stablecoins,primary,Tether
DAI,Stablecoins,primary,MakerDAO stablecoin
PAXG,Stablecoins,secondary,PAX Gold
PAX,Stablecoins,secondary,Paxos Standard
AVAX,Avalanche Ecosystem,primary,Avalanche
APT,Move VMs,primary,Aptos
SUI,Move VMs,primary,Sui
INJ,Cosmos Ecosystem,primary,Injective
ATOM,Cosmos Ecosystem,primary,Cosmos Hub
OSMO,Cosmos Ecosystem,primary,Osmosis
AXL,Cosmos Ecosystem,secondary,Axelar
TIA,Cosmos Ecosystem,secondary,Celestia
SEI,Cosmos Ecosystem,secondary,Sei
DOT,Polkadot Ecosystem,primary,Polkadot
KSM,Polkadot Ecosystem,secondary,Kusama
CRO,Exchange Tokens,primary,Crypto.com
BNB,Exchange Tokens,primary,Binance
ENA,LST/LRT,primary,Ethena
LDO,LST/LRT,primary,Lido
RPL,LST/LRT,secondary,Rocket Pool
ETHFI,LST/LRT,secondary,Ether.fi
EIGEN,LST/LRT,secondary,EigenLayer
ONDO,RWA,primary,Ondo Finance
CFG,RWA,secondary,Centrifuge
TRAC,RWA,secondary,OriginTrail
APE,NFT/Culture,primary,ApeCoin
BLUR,NFT/Culture,primary,Blur marketplace
ENS,NFT/Culture,secondary,Ethereum Name Service
QNT,Enterprise,primary,Quant
VET,Enterprise,primary,VeChain
HBAR,Enterprise,secondary,Hedera
ZRX,Legacy DeFi,primary,0x Protocol
BAT,Legacy DeFi,secondary,Basic Attention Token
KNC,Legacy DeFi,secondary,Kyber Network
LRC,Legacy DeFi,secondary,Loopring
BNT,Legacy DeFi,secondary,Bancor
CHZ,Fan Tokens,primary,Chiliz
GMT,Move-to-Earn,primary,STEPN
OCEAN,Data Economy,primary,Ocean Protocol
GRT,Data Economy,primary,The Graph
OCEAN,Data Economy,secondary,Ocean Protocol
AUDIO,Creator Economy,primary,Audius
TRAC,Creator Economy,secondary,OriginTrail
YFI,Yield Aggregators,primary,Yearn Finance
CVX,Yield Aggregators,secondary,Convex Finance
PENDLE,Yield Aggregators,secondary,Pendle Finance
SAND,Real Estate/Metaverse,primary,The Sandbox
MANA,Real Estate/Metaverse,primary,Decentraland
T,Privacy/Infra,primary,Threshold Network
NKN,Privacy/Infra,secondary,NKN
CELR,Privacy/Infra,secondary,Celer Network
MASK,Web3 Social,primary,Mask Network
LA,Web3 Social,secondary,Launchpad (if available)
SAFE,Infra/Tooling,primary,Safe (Gnosis Safe)
ENS,Infra/Tooling,secondary,ENS Domains
ME,NFT Marketplaces,primary,Magic Eden
BLUR,NFT Marketplaces,primary,Blur
